symbol,date,low,close,open,volume,high
BTC-EUR,2021-02-05 21:00:00,31233.26171875,31330.994140625,31263.34375,0,31366.037109375
BTC-EUR,2021-02-05 22:00:00,31258.056640625,31359.0,31339.900390625,0,31421.24609375
BTC-EUR,2021-02-05 23:00:00,31316.880859375,31575.36328125,31360.67578125,868823040,31575.36328125
BTC-EUR,2021-02-06 00:00:00,31653.3359375,32131.484375,31658.248046875,1850236928,32131.484375
BTC-EUR,2021-02-06 01:00:00,32014.15625,32142.884765625,32131.220703125,2912407552,32588.078125
BTC-EUR,2021-02-06 02:00:00,32115.654296875,32625.3046875,32128.1953125,2207424512,32663.626953125
BTC-EUR,2021-02-06 03:00:00,32551.6015625,32630.15234375,32639.109375,690327552,32780.09765625
BTC-EUR,2021-02-06 04:00:00,32377.0,32506.83203125,32626.92578125,704278528,32636.123046875
BTC-EUR,2021-02-06 05:00:00,32271.99609375,32390.80078125,32505.880859375,554483712,32507.666015625
BTC-EUR,2021-02-06 06:00:00,32364.953125,32601.12890625,32387.998046875,524537856,32662.099609375
BTC-EUR,2021-02-06 07:00:00,32565.208984375,32624.44140625,32598.982421875,0,32725.73046875
BTC-EUR,2021-02-06 08:00:00,32627.3828125,32712.705078125,32632.025390625,507936768,32874.98046875
BTC-EUR,2021-02-06 09:00:00,32707.017578125,33051.53515625,32711.50390625,955580416,33051.53515625
BTC-EUR,2021-02-06 10:00:00,32889.22265625,33174.5625,33061.7421875,885129216,33174.5625
BTC-EUR,2021-02-06 11:00:00,33172.6875,33380.0078125,33172.6875,2328764416,33523.98046875
BTC-EUR,2021-02-06 12:00:00,33132.59765625,33132.59765625,33381.43359375,54767616,33495.83203125
BTC-EUR,2021-02-06 13:00:00,33135.1875,33307.7734375,33138.49609375,0,33378.56640625
